path,phash,whash
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00091_front.webp,955b3599540d5367,1c1f007e7f1f0f06
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00092_back.webp,c04b15b5156b45f7,007878787e7e7c0e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00092_front.webp,91936c2d6d5b14b6,407e5e3e3e1e3e40
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00093_back.webp,c14b15b5156f45b6,007848787e7e7c6e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00093_front.webp,91b26cbd6d4a1476,40fe7e3e4e0e3e40
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00094_back.webp,c14b15b5156b55b6,007878787e7e7c0e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00094_front.webp,91996a64655b52f6,407f7e2e7e1e1e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00095_back.webp,c84a14b595cb4dbd,6660587879797e46
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00095_front.webp,95956a2d656694f2,50ee7e2e2e3e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00096_back.webp,c94b55b5156b4596,0a7878783f1f1c2e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00096_front.webp,91916d6e5496559b,4e6e5e2e1e1e3f00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00097_back.webp,c14b15b5356b45b5,227878787e7e7c04
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00097_front.webp,94f1699b6c265695,4e6e5e3e1e1e1f00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00098_back.webp,c84b15b5156b55b5,007838787f7e7c0e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00098_front.webp,9591686d656a56b6,4e7e1e1e1e1e3f00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00099_back.webp,c94b15b5956b45b4,2e7878787e7f4006
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00099_front.webp,949149ed459656eb,467e7e2e1e163f00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00100_back.webp,91994a661ada6db3,184a7e7f6f760418
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00100_front.webp,9591466e3a91695f,187e7eff01407e18
